especie,luminosidad,humedad,temperatura,estado_salud
Girasol (Helianthus annuus),204.47,55.78,24.41,Moderate Stress
Girasol (Helianthus annuus),685.25,54.49,29.68,Moderate Stress
Girasol (Helianthus annuus),858.48,60.29,18.84,Healthy
Girasol (Helianthus annuus),975.04,55.98,28.24,High Stress
Girasol (Helianthus annuus),622.93,58.67,21.1,Moderate Stress
Girasol (Helianthus annuus),860.96,57.27,24.85,Moderate Stress
Girasol (Helianthus annuus),529.58,63.09,26.47,High Stress
Girasol (Helianthus annuus),517.2,51.59,26.48,Moderate Stress
Girasol (Helianthus annuus),493.72,40.58,20.51,High Stress
Girasol (Helianthus annuus),690.1,48.34,19.1,High Stress
Girasol (Helianthus annuus),442.86,69.93,26.38,High Stress
Girasol (Helianthus annuus),342.53,60.14,23.89,Moderate Stress
Girasol (Helianthus annuus),900.81,61.6,28.25,Moderate Stress
Girasol (Helianthus annuus),873.51,61.68,23.62,Moderate Stress
Girasol (Helianthus annuus),523.15,45.91,18.74,High Stress
Girasol (Helianthus annuus),763.29,63.38,29.73,Moderate Stress
Girasol (Helianthus annuus),707.87,55.95,20.59,Moderate Stress
Girasol (Helianthus annuus),798.84,51.16,28.64,Moderate Stress
Girasol (Helianthus annuus),754.06,40.39,25.61,Moderate Stress
Girasol (Helianthus annuus),483.59,50.98,23.76,Moderate Stress
Girasol (Helianthus annuus),317.15,56.13,18.93,High Stress
Girasol (Helianthus annuus),899.63,50.71,25.06,Moderate Stress
Girasol (Helianthus annuus),692.48,58.81,28.37,High Stress
Girasol (Helianthus annuus),712.29,66.25,27.42,Healthy
Girasol (Helianthus annuus),381.81,52.91,26.45,Moderate Stress
Girasol (Helianthus annuus),692.56,63.69,19.84,High Stress
Girasol (Helianthus annuus),412.4,53.09,21.73,Healthy
Girasol (Helianthus annuus),872.05,64.1,25.45,High Stress
Girasol (Helianthus annuus),600.91,57.69,22.56,High Stress
Girasol (Helianthus annuus),928.01,49.94,24.56,High Stress
Girasol (Helianthus annuus),566.6,67.9,22.63,High Stress
Girasol (Helianthus annuus),383.94,57.8,25.51,Moderate Stress
Girasol (Helianthus annuus),221.78,61.98,28.65,High Stress
Suculenta (Echeveria),800.29,54.42,22.66,High Stress
Suculenta (Echeveria),258.11,66.47,29.98,Moderate Stress
Suculenta (Echeveria),269.12,44.91,26.36,Moderate Stress
Suculenta (Echeveria),513.12,47.47,27.38,Moderate Stress
Suculenta (Echeveria),920.13,62.05,25.15,Moderate Stress
Suculenta (Echeveria),918.75,45.3,27.29,High Stress
Suculenta (Echeveria),919.17,61.09,21.21,High Stress
Suculenta (Echeveria),253.49,54.04,23.3,Moderate Stress
Suculenta (Echeveria),901.29,67.13,26.08,Moderate Stress
Suculenta (Echeveria),683.33,62.36,26.32,High Stress
Suculenta (Echeveria),890.0,59.57,23.57,Healthy
Suculenta (Echeveria),639.01,48.47,18.79,High Stress
Suculenta (Echeveria),955.09,44.48,27.79,Healthy
Suculenta (Echeveria),385.0,66.67,26.96,Moderate Stress
Suculenta (Echeveria),732.91,55.07,25.22,Moderate Stress
Suculenta (Echeveria),816.04,65.36,19.05,High Stress
Suculenta (Echeveria),298.27,51.43,18.32,Moderate Stress
Suculenta (Echeveria),782.06,68.53,29.89,Moderate Stress
Suculenta (Echeveria),657.57,50.27,19.64,High Stress
Suculenta (Echeveria),957.8,47.89,20.35,Moderate Stress
Suculenta (Echeveria),511.01,45.08,22.24,High Stress
Suculenta (Echeveria),719.86,62.62,24.06,High Stress
Suculenta (Echeveria),359.02,66.01,19.53,Healthy
Suculenta (Echeveria),732.95,45.4,29.64,Healthy
Suculenta (Echeveria),742.37,61.79,24.59,High Stress
Suculenta (Echeveria),867.18,60.02,25.73,Healthy
Suculenta (Echeveria),755.99,47.0,29.29,Moderate Stress
Suculenta (Echeveria),856.36,62.1,19.55,Moderate Stress
Suculenta (Echeveria),305.29,42.7,26.32,Moderate Stress
Suculenta (Echeveria),453.32,63.67,21.54,High Stress
Suculenta (Echeveria),471.31,45.58,28.36,High Stress
Suculenta (Echeveria),674.07,66.62,22.84,Moderate Stress
Suculenta (Echeveria),873.04,47.95,20.28,Healthy
Suculenta (Echeveria),283.11,61.9,19.04,High Stress
Suculenta (Echeveria),857.38,47.72,28.05,Healthy
Suculenta (Echeveria),224.77,42.3,28.17,Healthy
Suculenta (Echeveria),412.81,42.58,22.48,Healthy
Suculenta (Echeveria),508.0,46.34,29.64,High Stress
Suculenta (Echeveria),291.6,63.49,25.68,Healthy
Suculenta (Echeveria),936.41,41.04,23.01,High Stress
Suculenta (Echeveria),406.48,60.72,20.88,Moderate Stress
Suculenta (Echeveria),216.16,61.87,25.77,Moderate Stress
Suculenta (Echeveria),768.58,46.49,24.76,High Stress
Suculenta (Echeveria),951.15,51.7,27.8,Healthy
Suculenta (Echeveria),974.64,52.7,26.64,High Stress
Suculenta (Echeveria),668.35,66.94,22.59,Moderate Stress
Suculenta (Echeveria),800.74,68.35,19.98,Moderate Stress
Suculenta (Echeveria),335.3,62.93,20.08,Healthy
Suculenta (Echeveria),310.86,42.08,19.4,Moderate Stress
Suculenta (Echeveria),398.78,52.92,20.52,Moderate Stress
Suculenta (Echeveria),250.72,67.7,22.16,Healthy
Suculenta (Echeveria),806.95,48.24,20.12,High Stress
Suculenta (Echeveria),403.37,69.42,25.0,Moderate Stress
Suculenta (Echeveria),663.1,44.03,24.31,Moderate Stress
Suculenta (Echeveria),805.73,68.49,29.82,Moderate Stress
Suculenta (Echeveria),999.66,65.24,19.52,High Stress
Suculenta (Echeveria),413.92,62.27,21.92,High Stress
Suculenta (Echeveria),813.06,46.47,28.48,High Stress
Suculenta (Echeveria),235.66,65.06,19.93,Moderate Stress
Suculenta (Echeveria),242.54,68.21,28.42,Moderate Stress
Suculenta (Echeveria),544.35,54.71,22.34,High Stress
Suculenta (Echeveria),899.67,61.67,22.86,Moderate Stress
Suculenta (Echeveria),278.72,62.42,26.88,Moderate Stress
Suculenta (Echeveria),918.3,62.93,22.57,High Stress
Suculenta (Echeveria),705.64,46.75,27.73,Healthy
Suculenta (Echeveria),760.26,56.73,18.32,High Stress
Suculenta (Echeveria),563.07,43.77,28.29,High Stress
Suculenta (Echeveria),809.87,54.83,26.78,High Stress
Suculenta (Echeveria),966.51,41.93,18.46,Healthy
Suculenta (Echeveria),735.34,42.42,23.2,High Stress
Suculenta (Echeveria),601.78,65.9,18.79,High Stress
Suculenta (Echeveria),552.47,69.29,18.7,High Stress
Suculenta (Echeveria),790.41,45.16,22.56,Healthy
Suculenta (Echeveria),854.61,48.14,21.24,Healthy
Suculenta (Echeveria),436.87,46.48,24.61,Healthy
Suculenta (Echeveria),558.25,53.96,26.63,High Stress
Suculenta (Echeveria),726.56,51.89,22.82,Healthy
Suculenta (Echeveria),434.53,54.93,22.28,Moderate Stress
Suculenta (Echeveria),756.84,50.36,23.25,High Stress
Suculenta (Echeveria),908.55,52.29,22.52,High Stress
Suculenta (Echeveria),872.56,65.71,19.59,Moderate Stress
Suculenta (Echeveria),473.63,51.07,24.62,Moderate Stress
Suculenta (Echeveria),453.8,44.0,25.25,High Stress
Suculenta (Echeveria),577.65,47.07,19.54,Moderate Stress
Suculenta (Echeveria),627.09,61.72,23.35,Healthy
Suculenta (Echeveria),799.91,65.04,21.64,High Stress
Suculenta (Echeveria),463.98,61.06,25.67,Moderate Stress
Suculenta (Echeveria),928.39,68.62,22.65,High Stress
Suculenta (Echeveria),252.26,54.48,26.45,Healthy
Suculenta (Echeveria),733.5,60.82,29.93,Healthy
Suculenta (Echeveria),717.01,55.41,21.03,Moderate Stress
Suculenta (Echeveria),779.51,65.75,27.27,Healthy
Suculenta (Echeveria),940.32,68.57,24.06,Moderate Stress
Suculenta (Echeveria),377.65,56.51,26.81,Healthy
Suculenta (Echeveria),593.38,64.7,24.81,Moderate Stress
Suculenta (Echeveria),474.38,46.78,19.65,High Stress
Suculenta (Echeveria),442.46,59.05,28.05,Healthy
Suculenta (Echeveria),910.39,52.82,20.55,High Stress
Suculenta (Echeveria),909.69,61.91,26.69,Healthy
Suculenta (Echeveria),819.7,50.31,26.79,High Stress
Suculenta (Echeveria),271.05,48.86,23.76,High Stress
Suculenta (Echeveria),580.18,46.69,28.52,High Stress
Suculenta (Echeveria),677.54,54.4,26.26,High Stress
Suculenta (Echeveria),782.73,56.66,19.3,High Stress
Suculenta (Echeveria),771.61,49.62,29.65,High Stress
Suculenta (Echeveria),691.44,56.87,25.17,Moderate Stress
Suculenta (Echeveria),975.31,44.88,27.67,High Stress
Suculenta (Echeveria),613.54,54.22,27.85,High Stress
Suculenta (Echeveria),759.83,47.45,26.35,Healthy
Suculenta (Echeveria),261.76,46.38,19.03,High Stress
Suculenta (Echeveria),848.79,62.46,28.92,Moderate Stress
Suculenta (Echeveria),681.08,65.4,24.59,Moderate Stress
Suculenta (Echeveria),868.74,63.39,22.39,Moderate Stress
Suculenta (Echeveria),886.41,56.42,28.26,High Stress
Suculenta (Echeveria),745.1,42.14,20.89,High Stress
Suculenta (Echeveria),571.88,59.01,23.96,Moderate Stress
Suculenta (Echeveria),349.46,49.08,27.64,High Stress
Suculenta (Echeveria),605.2,57.11,27.77,Healthy
Suculenta (Echeveria),638.51,43.18,26.38,Healthy
Suculenta (Echeveria),558.57,49.17,25.97,High Stress
Tomate (Solanum lycopersicum),210.67,43.86,27.64,High Stress
Tomate (Solanum lycopersicum),931.51,54.0,29.42,Moderate Stress
Tomate (Solanum lycopersicum),869.7,49.6,21.99,Moderate Stress
Tomate (Solanum lycopersicum),543.35,67.38,19.84,Healthy
Tomate (Solanum lycopersicum),359.67,63.87,28.28,High Stress
Tomate (Solanum lycopersicum),740.11,62.58,21.09,Moderate Stress
Tomate (Solanum lycopersicum),805.2,49.87,20.45,Healthy
Tomate (Solanum lycopersicum),291.69,65.54,29.77,High Stress
Tomate (Solanum lycopersicum),591.59,41.61,21.26,Moderate Stress
Tomate (Solanum lycopersicum),960.32,66.85,25.86,Healthy
Tomate (Solanum lycopersicum),595.58,51.41,23.61,Moderate Stress
Tomate (Solanum lycopersicum),597.43,60.88,22.31,Moderate Stress
Tomate (Solanum lycopersicum),672.87,67.06,28.68,Healthy
Tomate (Solanum lycopersicum),681.44,59.08,24.38,Moderate Stress
Tomate (Solanum lycopersicum),514.01,49.72,28.93,Healthy
Tomate (Solanum lycopersicum),806.17,59.27,18.26,High Stress
Tomate (Solanum lycopersicum),567.15,57.83,18.14,Moderate Stress
Tomate (Solanum lycopersicum),826.01,42.69,29.85,High Stress
Tomate (Solanum lycopersicum),498.04,43.5,18.49,Moderate Stress
Tomate (Solanum lycopersicum),523.26,47.48,18.4,Healthy
Tomate (Solanum lycopersicum),515.6,65.57,21.03,High Stress
Tomate (Solanum lycopersicum),483.38,57.2,23.08,Healthy
Tomate (Solanum lycopersicum),778.34,49.69,27.1,High Stress
Tomate (Solanum lycopersicum),577.69,40.04,18.05,High Stress
Tomate (Solanum lycopersicum),401.79,45.55,25.5,High Stress
Tomate (Solanum lycopersicum),320.73,60.04,28.14,High Stress
Tomate (Solanum lycopersicum),391.4,58.28,26.54,High Stress
Tomate (Solanum lycopersicum),365.76,68.49,20.38,Moderate Stress
Tomate (Solanum lycopersicum),769.84,69.96,22.61,High Stress
Tomate (Solanum lycopersicum),247.79,63.97,18.13,High Stress
Tomate (Solanum lycopersicum),986.25,40.46,22.24,High Stress
Tomate (Solanum lycopersicum),397.36,53.36,26.61,High Stress
Tomate (Solanum lycopersicum),590.33,60.16,22.99,Moderate Stress
Tomate (Solanum lycopersicum),646.27,47.98,20.61,High Stress
Tomate (Solanum lycopersicum),868.95,49.12,20.87,High Stress
Tomate (Solanum lycopersicum),877.8,57.28,21.32,Moderate Stress
Tomate (Solanum lycopersicum),348.28,69.12,29.89,Healthy
Tomate (Solanum lycopersicum),846.74,60.45,21.92,Healthy
Tomate (Solanum lycopersicum),206.15,57.56,27.65,High Stress
Tomate (Solanum lycopersicum),787.05,59.8,18.13,Healthy
Tomate (Solanum lycopersicum),799.16,63.56,23.18,Moderate Stress
Tomate (Solanum lycopersicum),990.13,49.18,29.4,Healthy
Tomate (Solanum lycopersicum),851.85,47.94,26.2,Moderate Stress
Tomate (Solanum lycopersicum),539.15,50.27,21.21,Healthy
Tomate (Solanum lycopersicum),212.62,67.05,27.67,Healthy
Tomate (Solanum lycopersicum),319.7,68.12,18.2,High Stress
Tomate (Solanum lycopersicum),884.61,64.57,26.16,Moderate Stress
Tomate (Solanum lycopersicum),751.67,40.41,19.34,High Stress
Tomate (Solanum lycopersicum),352.51,63.79,20.18,Moderate Stress
Tomate (Solanum lycopersicum),778.36,53.05,23.75,High Stress
Tomate (Solanum lycopersicum),228.89,54.44,20.28,Healthy
Tomate (Solanum lycopersicum),682.97,47.58,22.8,High Stress
Tomate (Solanum lycopersicum),824.69,61.9,25.16,Healthy
Tomate (Solanum lycopersicum),861.07,48.55,18.94,Healthy
Tomate (Solanum lycopersicum),440.26,58.68,23.74,High Stress
Tomate (Solanum lycopersicum),724.22,42.49,23.85,High Stress
Tomate (Solanum lycopersicum),576.6,50.11,22.16,Healthy
Tomate (Solanum lycopersicum),563.33,55.72,27.22,Moderate Stress
Tomate (Solanum lycopersicum),345.96,50.69,23.36,Moderate Stress
Tomate (Solanum lycopersicum),985.97,55.32,29.62,High Stress
Tomate (Solanum lycopersicum),829.86,53.02,24.76,Moderate Stress
Tomate (Solanum lycopersicum),533.57,48.39,23.27,Moderate Stress
Tomate (Solanum lycopersicum),577.18,67.25,23.14,High Stress
Tomate (Solanum lycopersicum),310.14,55.38,19.78,Healthy
Tomate (Solanum lycopersicum),899.74,68.9,27.4,High Stress
Tomate (Solanum lycopersicum),301.64,68.95,28.08,Moderate Stress
Tomate (Solanum lycopersicum),760.91,42.5,23.35,High Stress
Tomate (Solanum lycopersicum),644.39,68.48,29.85,Moderate Stress
Tomate (Solanum lycopersicum),765.94,59.05,20.97,High Stress
Tomate (Solanum lycopersicum),782.7,42.02,22.39,Moderate Stress
Tomate (Solanum lycopersicum),746.92,68.69,23.86,Moderate Stress
Tomate (Solanum lycopersicum),226.63,51.78,26.37,High Stress
Tomate (Solanum lycopersicum),259.95,41.55,26.51,High Stress
Tomate (Solanum lycopersicum),227.04,61.26,21.08,Moderate Stress
Tomate (Solanum lycopersicum),303.24,44.89,27.65,Moderate Stress
Tomate (Solanum lycopersicum),985.43,68.46,27.88,High Stress
Tomate (Solanum lycopersicum),659.27,55.82,23.78,High Stress
Tomate (Solanum lycopersicum),232.16,60.76,24.7,High Stress
Tomate (Solanum lycopersicum),520.06,60.1,26.57,High Stress
Tomate (Solanum lycopersicum),575.0,61.52,20.3,Moderate Stress
Tomate (Solanum lycopersicum),751.05,41.19,25.02,High Stress
Tomate (Solanum lycopersicum),635.49,55.41,21.93,Moderate Stress
Tomate (Solanum lycopersicum),507.6,67.76,18.24,High Stress
Tomate (Solanum lycopersicum),360.83,44.02,28.86,High Stress
Tomate (Solanum lycopersicum),633.59,53.82,27.93,Moderate Stress
Tomate (Solanum lycopersicum),708.01,66.39,28.08,Moderate Stress
Tomate (Solanum lycopersicum),922.47,62.49,28.31,Moderate Stress
Tomate (Solanum lycopersicum),466.06,44.44,24.81,High Stress
Tomate (Solanum lycopersicum),243.98,42.8,21.14,Healthy
Tomate (Solanum lycopersicum),886.3,68.08,20.8,Healthy
Tomate (Solanum lycopersicum),815.32,50.29,21.59,Moderate Stress
Tomate (Solanum lycopersicum),959.09,65.89,18.41,Moderate Stress
Tomate (Solanum lycopersicum),423.65,56.41,26.4,Moderate Stress
Tomate (Solanum lycopersicum),732.78,41.01,24.25,High Stress
Tomate (Solanum lycopersicum),779.68,60.89,29.8,High Stress
Tomate (Solanum lycopersicum),659.88,52.39,22.31,High Stress
Tomate (Solanum lycopersicum),725.93,55.27,18.36,Healthy
Tomate (Solanum lycopersicum),317.74,43.04,18.85,High Stress
Tomate (Solanum lycopersicum),732.99,55.73,24.97,Healthy
Tomate (Solanum lycopersicum),394.67,48.91,27.71,High Stress
Tomate (Solanum lycopersicum),731.93,56.6,26.22,Healthy
Tomate (Solanum lycopersicum),745.02,55.13,21.72,Moderate Stress
Tomate (Solanum lycopersicum),337.28,52.32,27.74,Healthy
Tomate (Solanum lycopersicum),427.39,62.46,26.63,Moderate Stress
Tomate (Solanum lycopersicum),380.53,44.09,20.33,Moderate Stress
Tomate (Solanum lycopersicum),546.31,44.76,21.0,Healthy
Tomate (Solanum lycopersicum),731.09,68.77,22.1,High Stress
Tomate (Solanum lycopersicum),909.16,40.74,21.81,Healthy
Tomate (Solanum lycopersicum),609.23,43.28,18.81,Moderate Stress
Tomate (Solanum lycopersicum),659.16,46.55,27.08,Moderate Stress
Tomate (Solanum lycopersicum),440.63,44.9,29.36,Healthy
Tomate (Solanum lycopersicum),765.26,68.19,25.02,Moderate Stress
Tomate (Solanum lycopersicum),948.02,59.23,23.67,Moderate Stress
Tomate (Solanum lycopersicum),281.75,45.9,23.12,Moderate Stress
Tomate (Solanum lycopersicum),506.75,68.23,19.19,Healthy
Tomate (Solanum lycopersicum),663.59,51.84,21.25,Moderate Stress
Tomate (Solanum lycopersicum),737.08,40.85,28.89,High Stress
Tomate (Solanum lycopersicum),841.68,43.54,19.16,Healthy
Tomate (Solanum lycopersicum),468.63,65.52,28.72,Moderate Stress
Tomate (Solanum lycopersicum),835.32,50.34,26.7,Moderate Stress
Bonsái (Ficus retusa),416.58,54.2,22.36,Moderate Stress
Bonsái (Ficus retusa),928.02,58.05,19.29,Moderate Stress
Bonsái (Ficus retusa),960.99,48.51,28.26,High Stress
Bonsái (Ficus retusa),961.96,42.97,21.48,Moderate Stress
Bonsái (Ficus retusa),401.06,63.49,23.88,Healthy
Bonsái (Ficus retusa),458.2,50.44,20.09,High Stress
Bonsái (Ficus retusa),864.56,68.87,20.71,Moderate Stress
Bonsái (Ficus retusa),857.1,45.89,18.79,Moderate Stress
Bonsái (Ficus retusa),738.01,41.21,20.71,High Stress
Bonsái (Ficus retusa),305.52,51.24,22.9,Moderate Stress
Bonsái (Ficus retusa),449.48,40.98,19.85,High Stress
Bonsái (Ficus retusa),794.21,63.82,19.44,Healthy
Bonsái (Ficus retusa),278.05,53.29,23.16,High Stress
Bonsái (Ficus retusa),418.5,55.61,26.1,Moderate Stress
Bonsái (Ficus retusa),780.86,44.88,18.63,Healthy
Bonsái (Ficus retusa),896.65,48.24,21.17,High Stress
Bonsái (Ficus retusa),787.89,55.19,19.32,Healthy
Bonsái (Ficus retusa),481.37,45.8,24.17,High Stress
Bonsái (Ficus retusa),517.48,47.32,19.67,High Stress
Bonsái (Ficus retusa),317.92,64.26,19.88,Healthy
Bonsái (Ficus retusa),793.22,56.67,20.37,High Stress
Bonsái (Ficus retusa),213.65,62.4,18.79,Healthy
Bonsái (Ficus retusa),637.67,43.46,29.42,Healthy
Bonsái (Ficus retusa),649.31,42.9,20.12,Healthy
Bonsái (Ficus retusa),435.45,49.85,25.5,Healthy
Bonsái (Ficus retusa),452.87,43.93,29.55,Healthy
Bonsái (Ficus retusa),922.93,41.38,25.3,Moderate Stress
Bonsái (Ficus retusa),833.13,42.63,29.06,High Stress
Bonsái (Ficus retusa),570.78,67.59,27.33,High Stress
Bonsái (Ficus retusa),253.49,42.74,19.41,Moderate Stress
Bonsái (Ficus retusa),970.77,47.41,20.14,Moderate Stress
Bonsái (Ficus retusa),905.32,61.23,27.05,High Stress
Bonsái (Ficus retusa),418.73,59.02,27.49,Healthy
Bonsái (Ficus retusa),994.71,47.02,22.27,High Stress
Bonsái (Ficus retusa),758.78,61.17,18.99,Healthy
Bonsái (Ficus retusa),897.4,47.49,26.14,Healthy
Bonsái (Ficus retusa),894.02,45.93,29.86,Healthy
Bonsái (Ficus retusa),650.35,52.37,28.78,High Stress
Bonsái (Ficus retusa),266.78,64.57,27.74,High Stress
Bonsái (Ficus retusa),470.94,41.4,28.95,Healthy
Bonsái (Ficus retusa),341.28,59.14,26.54,Moderate Stress
Bonsái (Ficus retusa),987.19,59.35,24.16,High Stress
Bonsái (Ficus retusa),852.83,53.31,23.07,Healthy
Bonsái (Ficus retusa),365.23,49.98,23.62,Healthy
Bonsái (Ficus retusa),315.58,54.2,24.49,Moderate Stress
Bonsái (Ficus retusa),570.56,65.5,24.58,Moderate Stress
Bonsái (Ficus retusa),774.53,53.22,19.69,High Stress
Bonsái (Ficus retusa),717.64,51.18,19.07,Healthy
Bonsái (Ficus retusa),365.5,44.11,29.21,High Stress
Bonsái (Ficus retusa),869.45,66.36,18.41,High Stress
Bonsái (Ficus retusa),426.53,42.0,28.05,High Stress
Bonsái (Ficus retusa),960.92,41.17,21.0,Moderate Stress
Bonsái (Ficus retusa),988.55,53.47,29.88,Healthy
Bonsái (Ficus retusa),703.68,64.98,24.36,Healthy
Bonsái (Ficus retusa),761.89,69.11,24.26,Healthy
Bonsái (Ficus retusa),377.86,57.31,28.73,High Stress
Bonsái (Ficus retusa),494.08,49.37,19.8,Moderate Stress
Bonsái (Ficus retusa),647.95,48.98,18.41,Moderate Stress
Bonsái (Ficus retusa),432.14,56.58,22.95,High Stress
Bonsái (Ficus retusa),733.1,52.85,22.62,High Stress
Bonsái (Ficus retusa),873.34,65.34,26.61,Moderate Stress
Bonsái (Ficus retusa),668.91,63.81,20.16,High Stress
Bonsái (Ficus retusa),681.71,54.5,19.89,High Stress
Bonsái (Ficus retusa),590.3,43.93,20.32,High Stress
Bonsái (Ficus retusa),946.29,53.31,27.28,Healthy
Bonsái (Ficus retusa),964.93,50.84,28.49,Moderate Stress
Bonsái (Ficus retusa),459.14,66.86,25.34,Moderate Stress
Bonsái (Ficus retusa),294.98,64.28,27.77,Healthy
Bonsái (Ficus retusa),879.47,67.94,25.4,High Stress
Bonsái (Ficus retusa),488.04,53.24,19.42,High Stress
Bonsái (Ficus retusa),474.19,61.93,28.06,Moderate Stress
Bonsái (Ficus retusa),521.44,52.88,26.65,Moderate Stress
Bonsái (Ficus retusa),210.94,65.1,22.79,High Stress
Bonsái (Ficus retusa),853.56,47.66,19.71,Moderate Stress
Bonsái (Ficus retusa),676.39,52.0,18.35,High Stress
Bonsái (Ficus retusa),743.52,46.24,21.58,High Stress
Bonsái (Ficus retusa),827.62,56.27,22.08,Healthy
Bonsái (Ficus retusa),892.16,67.89,19.85,Healthy
Bonsái (Ficus retusa),634.44,54.18,19.39,Moderate Stress
Bonsái (Ficus retusa),233.73,60.99,29.58,High Stress
Bonsái (Ficus retusa),389.94,54.75,29.54,High Stress
Bonsái (Ficus retusa),811.46,55.84,19.28,High Stress
Bonsái (Ficus retusa),957.71,49.32,19.52,High Stress
Bonsái (Ficus retusa),894.7,52.82,22.26,High Stress
Bonsái (Ficus retusa),765.63,40.74,18.67,Moderate Stress
Bonsái (Ficus retusa),755.97,43.81,18.09,High Stress
Bonsái (Ficus retusa),591.62,52.08,20.89,High Stress
Bonsái (Ficus retusa),398.81,59.8,25.89,Healthy
Bonsái (Ficus retusa),667.13,64.66,26.08,Moderate Stress
Bonsái (Ficus retusa),375.54,52.08,25.03,Healthy
Bonsái (Ficus retusa),259.83,56.62,21.39,High Stress
Bonsái (Ficus retusa),508.56,44.33,25.91,High Stress
Bonsái (Ficus retusa),362.45,56.75,23.9,High Stress
Bonsái (Ficus retusa),795.08,55.25,25.15,Healthy
Bonsái (Ficus retusa),876.66,44.64,21.64,High Stress
Bonsái (Ficus retusa),433.42,46.01,20.81,High Stress
Bonsái (Ficus retusa),918.8,53.73,27.64,High Stress
Bonsái (Ficus retusa),285.83,67.46,29.06,Moderate Stress
Bonsái (Ficus retusa),736.74,69.46,22.8,High Stress
Bonsái (Ficus retusa),485.96,66.49,18.93,High Stress
Bonsái (Ficus retusa),596.0,53.84,20.29,High Stress
Bonsái (Ficus retusa),593.99,49.73,27.59,Moderate Stress
Bonsái (Ficus retusa),678.48,53.43,28.61,High Stress
Bonsái (Ficus retusa),977.95,55.98,26.96,Moderate Stress
Bonsái (Ficus retusa),989.5,44.67,21.99,Moderate Stress
Bonsái (Ficus retusa),398.05,62.11,23.98,Healthy
Bonsái (Ficus retusa),844.91,62.42,27.47,Moderate Stress
Bonsái (Ficus retusa),576.18,41.48,18.95,High Stress
Bonsái (Ficus retusa),569.19,64.39,22.36,Healthy
Bonsái (Ficus retusa),983.56,40.07,29.38,Moderate Stress
Bonsái (Ficus retusa),535.64,49.24,23.47,High Stress
Bonsái (Ficus retusa),574.36,56.5,22.97,Moderate Stress
Bonsái (Ficus retusa),840.61,58.0,22.48,Moderate Stress
Bonsái (Ficus retusa),941.07,59.14,18.39,High Stress
Bonsái (Ficus retusa),495.85,57.91,22.73,High Stress
Bonsái (Ficus retusa),486.69,40.44,23.14,High Stress
Bonsái (Ficus retusa),687.12,57.73,26.15,Moderate Stress
Bonsái (Ficus retusa),447.69,42.22,22.2,High Stress
Bonsái (Ficus retusa),365.63,45.91,20.74,Moderate Stress
Bonsái (Ficus retusa),945.94,68.09,26.47,High Stress
Aloe Vera (Aloe barbadensis),576.54,54.87,26.2,High Stress
Aloe Vera (Aloe barbadensis),735.89,62.39,24.22,High Stress
Aloe Vera (Aloe barbadensis),993.91,67.79,23.77,High Stress
Aloe Vera (Aloe barbadensis),237.05,61.13,23.04,Moderate Stress
Aloe Vera (Aloe barbadensis),874.03,40.48,20.67,Healthy
Aloe Vera (Aloe barbadensis),230.09,44.35,26.25,Moderate Stress
Aloe Vera (Aloe barbadensis),938.92,63.89,25.21,High Stress
Aloe Vera (Aloe barbadensis),324.96,60.47,23.2,High Stress
Aloe Vera (Aloe barbadensis),693.01,57.32,21.83,Moderate Stress
Aloe Vera (Aloe barbadensis),339.92,68.85,27.95,Healthy
Aloe Vera (Aloe barbadensis),878.69,55.35,26.75,High Stress
Aloe Vera (Aloe barbadensis),500.04,46.21,25.45,Moderate Stress
Aloe Vera (Aloe barbadensis),581.93,66.61,26.08,Healthy
Aloe Vera (Aloe barbadensis),579.4,62.75,24.84,High Stress
Aloe Vera (Aloe barbadensis),812.06,57.86,23.58,High Stress
Aloe Vera (Aloe barbadensis),542.85,45.01,28.67,High Stress
Aloe Vera (Aloe barbadensis),683.55,68.85,26.37,Healthy
Aloe Vera (Aloe barbadensis),644.01,47.71,24.4,Moderate Stress
Aloe Vera (Aloe barbadensis),776.02,67.37,27.98,High Stress
Aloe Vera (Aloe barbadensis),728.16,45.52,18.44,Healthy
Aloe Vera (Aloe barbadensis),230.67,65.37,23.99,Healthy
Aloe Vera (Aloe barbadensis),863.81,52.52,19.49,Moderate Stress
Aloe Vera (Aloe barbadensis),844.98,65.03,25.53,High Stress
Aloe Vera (Aloe barbadensis),652.62,45.78,26.42,Healthy
Aloe Vera (Aloe barbadensis),796.72,48.85,22.42,High Stress
Aloe Vera (Aloe barbadensis),460.77,46.33,20.38,High Stress
Aloe Vera (Aloe barbadensis),341.23,43.53,19.41,Moderate Stress
Aloe Vera (Aloe barbadensis),570.02,63.35,23.24,High Stress
Aloe Vera (Aloe barbadensis),924.53,55.2,18.27,High Stress
Aloe Vera (Aloe barbadensis),524.22,66.15,18.31,Moderate Stress
Aloe Vera (Aloe barbadensis),886.23,68.14,22.23,Healthy
Aloe Vera (Aloe barbadensis),545.54,66.81,20.59,High Stress
Aloe Vera (Aloe barbadensis),503.59,54.88,23.71,High Stress
Aloe Vera (Aloe barbadensis),296.38,49.46,18.33,Healthy
Aloe Vera (Aloe barbadensis),602.12,47.26,29.51,Moderate Stress
Aloe Vera (Aloe barbadensis),698.43,51.88,18.11,Healthy
Aloe Vera (Aloe barbadensis),816.75,40.84,27.92,High Stress
Aloe Vera (Aloe barbadensis),798.3,65.01,27.45,Moderate Stress
